"Ac-No","Name","sTime","Verify Mode","Machine","formattedDate"
205087,205087,"24/04/2024 8:06 AM",FP/PW/RF/FACE,1,"24/04/2024 08:06:00"
206598,206598,"24/04/2024 8:07 AM",FP/PW/RF/FACE,1,"24/04/2024 08:07:00"
205883,205883,"24/04/2024 8:10 AM",FP/PW/RF/FACE,1,"24/04/2024 08:10:00"
205086,205086,"24/04/2024 8:10 AM",FP/PW/RF/FACE,1,"24/04/2024 08:10:00"
202917,202917,"24/04/2024 8:12 AM",FP/PW/RF/FACE,1,"24/04/2024 08:12:00"
202918,202918,"24/04/2024 8:12 AM",FP/PW/RF/FACE,1,"24/04/2024 08:12:00"
198032,198032,"24/04/2024 8:13 AM",FP/PW/RF/FACE,1,"24/04/2024 08:13:00"
202922,202922,"24/04/2024 8:13 AM",FP/PW/RF/FACE,1,"24/04/2024 08:13:00"
10033,10033,"24/04/2024 8:15 AM",FP/PW/RF/FACE,1,"24/04/2024 08:15:00"
206257,206257,"24/04/2024 8:15 AM",FP/PW/RF/FACE,1,"24/04/2024 08:15:00"
202923,202923,"24/04/2024 8:25 AM",FP/PW/RF/FACE,1,"24/04/2024 08:25:00"
199723,199723,"24/04/2024 8:25 AM",FP/PW/RF/FACE,1,"24/04/2024 08:25:00"
206640,206640,"24/04/2024 8:26 AM",FP/PW/RF/FACE,1,"24/04/2024 08:26:00"
198873,198873,"24/04/2024 8:29 AM",FP/PW/RF/FACE,1,"24/04/2024 08:29:00"
10060,10060,"24/04/2024 8:33 AM",FP/PW/RF/FACE,1,"24/04/2024 08:33:00"
147448,147448,"24/04/2024 8:34 AM",FP/PW/RF/FACE,1,"24/04/2024 08:34:00"
202910,202910,"24/04/2024 8:38 AM",FP/PW/RF/FACE,1,"24/04/2024 08:38:00"
145906,145906,"24/04/2024 8:43 AM",FP/PW/RF/FACE,1,"24/04/2024 08:43:00"
144083,144083,"24/04/2024 8:46 AM",FP/PW/RF/FACE,1,"24/04/2024 08:46:00"
125679,125679,"24/04/2024 8:47 AM",FP/PW/RF/FACE,1,"24/04/2024 08:47:00"
10130,10130,"24/04/2024 8:48 AM",FP/PW/RF/FACE,1,"24/04/2024 08:48:00"
114483,114483,"24/04/2024 8:49 AM",FP/PW/RF/FACE,1,"24/04/2024 08:49:00"
150083,150083,"24/04/2024 8:50 AM",FP/PW/RF/FACE,1,"24/04/2024 08:50:00"
140760,140760,"24/04/2024 8:50 AM",FP/PW/RF/FACE,1,"24/04/2024 08:50:00"
100194,100194,"24/04/2024 8:51 AM",FP/PW/RF/FACE,1,"24/04/2024 08:51:00"
166104,166104,"24/04/2024 8:51 AM",FP/PW/RF/FACE,1,"24/04/2024 08:51:00"
10196,10196,"24/04/2024 8:51 AM",FP/PW/RF/FACE,1,"24/04/2024 08:51:00"
140806,140806,"24/04/2024 8:53 AM",FP/PW/RF/FACE,1,"24/04/2024 08:53:00"
10008,10008,"24/04/2024 8:53 AM",FP/PW/RF/FACE,1,"24/04/2024 08:53:00"
162890,162890,"24/04/2024 8:54 AM",FP/PW/RF/FACE,1,"24/04/2024 08:54:00"
100226,100226,"24/04/2024 8:54 AM",FP/PW/RF/FACE,1,"24/04/2024 08:54:00"
10009,10009,"24/04/2024 8:54 AM",FP/PW/RF/FACE,1,"24/04/2024 08:54:00"
100216,100216,"24/04/2024 8:56 AM",FP/PW/RF/FACE,1,"24/04/2024 08:56:00"
100224,100224,"24/04/2024 8:56 AM",FP/PW/RF/FACE,1,"24/04/2024 08:56:00"
203478,203478,"24/04/2024 8:56 AM",FP/PW/RF/FACE,1,"24/04/2024 08:56:00"
159865,159865,"24/04/2024 8:57 AM",FP/PW/RF/FACE,1,"24/04/2024 08:57:00"
100225,100225,"24/04/2024 8:58 AM",FP/PW/RF/FACE,1,"24/04/2024 08:58:00"
100214,100214,"24/04/2024 8:58 AM",FP/PW/RF/FACE,1,"24/04/2024 08:58:00"
10147,10147,"24/04/2024 8:59 AM",FP/PW/RF/FACE,1,"24/04/2024 08:59:00"
