"Ac-No","Name","sTime","Verify Mode","Machine"
"210942","210942","27/01/2025 7:01 PM","FP/PW/RF/FACE","1"
"207386","207386","27/01/2025 7:02 PM","FP/PW/RF/FACE","1"
"10190","10190","27/01/2025 7:10 PM","FP/PW/RF/FACE","1"
"210550","210550","27/01/2025 7:17 PM","FP/PW/RF/FACE","1"
"10187","10187","27/01/2025 7:19 PM","FP/PW/RF/FACE","1"
"10187","10187","27/01/2025 7:19 PM","FP/PW/RF/FACE","1"
"205883","205883","27/01/2025 7:20 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 7:30 PM","FP/PW/RF/FACE","1"
"10008","10008","27/01/2025 7:30 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 7:32 PM","FP/PW/RF/FACE","1"
"187338","187338","27/01/2025 7:53 PM","FP/PW/RF/FACE","1"
"147448","147448","27/01/2025 7:53 PM","FP/PW/RF/FACE","1"
"209544","209544","27/01/2025 7:53 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 7:53 PM","FP/PW/RF/FACE","1"
"100208","100208","27/01/2025 7:54 PM","FP/PW/RF/FACE","1"
"100211","100211","28/01/2025 7:21 AM","FP/PW/RF/FACE","1"
"100211","100211","28/01/2025 7:21 AM","FP/PW/RF/FACE","1"
"100223","100223","28/01/2025 7:23 AM","FP/PW/RF/FACE","1"
"10187","10187","28/01/2025 7:28 AM","FP/PW/RF/FACE","1"
"10187","10187","28/01/2025 7:28 AM","FP/PW/RF/FACE","1"
"100199","100199","28/01/2025 7:37 AM","FP/PW/RF/FACE","1"
"10190","10190","28/01/2025 7:42 AM","FP/PW/RF/FACE","1"
"100208","100208","28/01/2025 7:47 AM","FP/PW/RF/FACE","1"
"100208","100208","28/01/2025 7:47 AM","FP/PW/RF/FACE","1"
"10175","10175","28/01/2025 7:51 AM","FP/PW/RF/FACE","1"
"187418","187418","28/01/2025 8:05 AM","FP/PW/RF/FACE","1"
"10175","10175","28/01/2025 8:08 AM","FP/PW/RF/FACE","1"
"206640","206640","28/01/2025 8:08 AM","FP/PW/RF/FACE","1"
"202923","202923","28/01/2025 8:12 AM","FP/PW/RF/FACE","1"
"10175","10175","28/01/2025 8:13 AM","FP/PW/RF/FACE","1"
"185266","185266","28/01/2025 8:16 AM","FP/PW/RF/FACE","1"
"208403","208403","28/01/2025 8:18 AM","FP/PW/RF/FACE","1"
"207386","207386","28/01/2025 8:18 AM","FP/PW/RF/FACE","1"
"207465","207465","28/01/2025 8:18 AM","FP/PW/RF/FACE","1"
"166104","166104","28/01/2025 8:18 AM","FP/PW/RF/FACE","1"
"202922","202922","28/01/2025 8:24 AM","FP/PW/RF/FACE","1"
"100201","100201","28/01/2025 8:25 AM","FP/PW/RF/FACE","1"
"202913","202913","28/01/2025 8:25 AM","FP/PW/RF/FACE","1"
"202913","202913","28/01/2025 8:26 AM","FP/PW/RF/FACE","1"
"205087","205087","28/01/2025 8:26 AM","FP/PW/RF/FACE","1"
"147448","147448","28/01/2025 8:26 AM","FP/PW/RF/FACE","1"
"202924","202924","28/01/2025 8:27 AM","FP/PW/RF/FACE","1"
"202924","202924","28/01/2025 8:27 AM","FP/PW/RF/FACE","1"
"205883","205883","28/01/2025 8:30 AM","FP/PW/RF/FACE","1"
"207800","207800","28/01/2025 8:33 AM","FP/PW/RF/FACE","1"
"211166","211166","28/01/2025 8:34 AM","FP/PW/RF/FACE","1"
"10009","10009","28/01/2025 8:34 AM","FP/PW/RF/FACE","1"
"10175","10175","28/01/2025 8:35 AM","FP/PW/RF/FACE","1"
"10147","10147","28/01/2025 8:36 AM","FP/PW/RF/FACE","1"
"10147","10147","28/01/2025 8:36 AM","FP/PW/RF/FACE","1"
"140760","140760","28/01/2025 8:36 AM","FP/PW/RF/FACE","1"
"140760","140760","28/01/2025 8:36 AM","FP/PW/RF/FACE","1"
"100235","100235","28/01/2025 8:38 AM","FP/PW/RF/FACE","1"
"10175","10175","28/01/2025 8:40 AM","FP/PW/RF/FACE","1"
"100226","100226","28/01/2025 8:40 AM","FP/PW/RF/FACE","1"
"100226","100226","28/01/2025 8:40 AM","FP/PW/RF/FACE","1"
"162890","162890","28/01/2025 8:41 AM","FP/PW/RF/FACE","1"
"114483","114483","28/01/2025 8:44 AM","FP/PW/RF/FACE","1"
"10008","10008","28/01/2025 8:45 AM","FP/PW/RF/FACE","1"
"208448","208448","28/01/2025 8:46 AM","FP/PW/RF/FACE","1"
"209544","209544","28/01/2025 8:46 AM","FP/PW/RF/FACE","1"
"205085","205085","28/01/2025 8:51 AM","FP/PW/RF/FACE","1"
"100225","100225","28/01/2025 8:52 AM","FP/PW/RF/FACE","1"
"203478","203478","28/01/2025 8:52 AM","FP/PW/RF/FACE","1"
"205086","205086","28/01/2025 8:53 AM","FP/PW/RF/FACE","1"
"210942","210942","28/01/2025 8:53 AM","FP/PW/RF/FACE","1"
"100231","100231","28/01/2025 8:55 AM","FP/PW/RF/FACE","1"
"202921","202921","28/01/2025 8:56 AM","FP/PW/RF/FACE","1"
"202921","202921","28/01/2025 8:56 AM","FP/PW/RF/FACE","1"
"150083","150083","28/01/2025 8:58 AM","FP/PW/RF/FACE","1"
"198873","198873","28/01/2025 8:59 AM","FP/PW/RF/FACE","1"
