"Ac-No","Name","sTime","Verify Mode","Machine"
"199683","199683","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"101800","101800","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"191973","191973","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"101908","101908","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"101908","101908","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"187148","187148","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"101041","101041","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"100893","100893","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"146677","146677","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"199750","199750","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"142617","142617","23/04/2024 5:00 PM","FP/PW/RF/FACE","3"
"101235","101235","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"205386","205386","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"205386","205386","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"199860","199860","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"101934","101934","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"101934","101934","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"184472","184472","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"205411","205411","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"101262","101262","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"100975","100975","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"201708","201708","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"201708","201708","23/04/2024 5:01 PM","FP/PW/RF/FACE","3"
"125379","125379","23/04/2024 5:02 PM","FP/PW/RF/FACE","3"
"125379","125379","23/04/2024 5:02 PM","FP/PW/RF/FACE","3"
"197005","197005","23/04/2024 5:02 PM","FP/PW/RF/FACE","3"
"201703","201703","23/04/2024 5:02 PM","FP/PW/RF/FACE","3"
"201703","201703","23/04/2024 5:02 PM","FP/PW/RF/FACE","3"
"101853","101853","23/04/2024 5:02 PM","FP/PW/RF/FACE","3"
"206551","206551","23/04/2024 5:02 PM","FP/PW/RF/FACE","3"
"125376","125376","23/04/2024 5:03 PM","FP/PW/RF/FACE","3"
"197553","197553","23/04/2024 5:03 PM","FP/PW/RF/FACE","3"
"197553","197553","23/04/2024 5:03 PM","FP/PW/RF/FACE","3"
"197004","197004","23/04/2024 5:03 PM","FP/PW/RF/FACE","3"
"197004","197004","23/04/2024 5:03 PM","FP/PW/RF/FACE","3"
"197006","197006","23/04/2024 5:03 PM","FP/PW/RF/FACE","3"
"153872","153872","23/04/2024 5:03 PM","FP/PW/RF/FACE","3"
"153872","153872","23/04/2024 5:04 PM","FP/PW/RF/FACE","3"
"187247","187247","23/04/2024 5:04 PM","FP/PW/RF/FACE","3"
"205878","205878","23/04/2024 5:04 PM","FP/PW/RF/FACE","3"
