"Ac-No","Name","sTime","Verify Mode","Machine"
"201706","201706","27/01/2025 5:01 PM","FP/PW/RF/FACE","3"
"201706","201706","27/01/2025 5:01 PM","FP/PW/RF/FACE","3"
"148119","148119","27/01/2025 5:13 PM","FP/PW/RF/FACE","3"
"100219","100219","27/01/2025 5:17 PM","FP/PW/RF/FACE","3"
"195383","195383","27/01/2025 5:20 PM","FP/PW/RF/FACE","3"
"101781","101781","27/01/2025 6:22 PM","FP/PW/RF/FACE","3"
"101130","101130","27/01/2025 6:25 PM","FP/PW/RF/FACE","3"
"101130","101130","27/01/2025 6:26 PM","FP/PW/RF/FACE","3"
"202913","202913","27/01/2025 6:31 PM","FP/PW/RF/FACE","3"
"198873","198873","27/01/2025 6:41 PM","FP/PW/RF/FACE","3"
"125376","125376","27/01/2025 6:58 PM","FP/PW/RF/FACE","3"
"210001","210001","27/01/2025 7:00 PM","FP/PW/RF/FACE","3"
"210001","210001","27/01/2025 7:00 PM","FP/PW/RF/FACE","3"
"205879","205879","27/01/2025 7:00 PM","FP/PW/RF/FACE","3"
"167253","167253","27/01/2025 7:00 PM","FP/PW/RF/FACE","3"
"109291","109291","27/01/2025 7:00 PM","FP/PW/RF/FACE","3"
"101800","101800","27/01/2025 7:01 PM","FP/PW/RF/FACE","3"
"210008","210008","27/01/2025 7:01 PM","FP/PW/RF/FACE","3"
"101235","101235","27/01/2025 7:01 PM","FP/PW/RF/FACE","3"
"101041","101041","27/01/2025 7:01 PM","FP/PW/RF/FACE","3"
"101909","101909","27/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"101908","101908","27/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"146462","146462","27/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"101495","101495","27/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"101941","101941","27/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"210010","210010","27/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"101964","101964","27/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"191973","191973","27/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"101262","101262","27/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"101262","101262","27/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"199860","199860","27/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"199860","199860","27/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"100975","100975","27/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"100975","100975","27/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"146677","146677","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"146677","146677","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"205386","205386","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"153872","153872","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"187148","187148","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"187148","187148","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"210007","210007","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"210007","210007","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"100926","100926","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"101853","101853","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"101853","101853","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"101887","101887","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"201708","201708","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"201708","201708","27/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"184472","184472","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"184472","184472","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"168338","168338","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"168338","168338","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"205878","205878","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"210013","210013","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"197006","197006","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"197006","197006","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"201703","201703","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"201703","201703","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"187247","187247","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"210005","210005","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"210014","210014","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"197608","197608","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"197608","197608","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"205315","205315","27/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"197004","197004","27/01/2025 7:06 PM","FP/PW/RF/FACE","3"
"197004","197004","27/01/2025 7:06 PM","FP/PW/RF/FACE","3"
"125375","125375","27/01/2025 7:07 PM","FP/PW/RF/FACE","3"
"197553","197553","27/01/2025 7:07 PM","FP/PW/RF/FACE","3"
"101907","101907","27/01/2025 7:07 PM","FP/PW/RF/FACE","3"
"100893","100893","27/01/2025 7:08 PM","FP/PW/RF/FACE","3"
"197310","197310","27/01/2025 7:09 PM","FP/PW/RF/FACE","3"
"204010","204010","27/01/2025 7:09 PM","FP/PW/RF/FACE","3"
"128063","128063","27/01/2025 7:10 PM","FP/PW/RF/FACE","3"
"101347","101347","27/01/2025 7:13 PM","FP/PW/RF/FACE","3"
"203210","203210","27/01/2025 7:13 PM","FP/PW/RF/FACE","3"
"117912","117912","27/01/2025 7:13 PM","FP/PW/RF/FACE","3"
"125383","125383","27/01/2025 7:16 PM","FP/PW/RF/FACE","3"
"120745","120745","27/01/2025 7:17 PM","FP/PW/RF/FACE","3"
"210006","210006","27/01/2025 7:30 PM","FP/PW/RF/FACE","3"
"101494","101494","27/01/2025 7:33 PM","FP/PW/RF/FACE","3"
"206214","206214","27/01/2025 7:41 PM","FP/PW/RF/FACE","3"
"128972","128972","27/01/2025 7:42 PM","FP/PW/RF/FACE","3"
"101829","101829","27/01/2025 7:46 PM","FP/PW/RF/FACE","3"
"205412","205412","27/01/2025 7:46 PM","FP/PW/RF/FACE","3"
"101600","101600","27/01/2025 8:14 PM","FP/PW/RF/FACE","3"
"101719","101719","27/01/2025 8:26 PM","FP/PW/RF/FACE","3"
"210011","210011","27/01/2025 8:26 PM","FP/PW/RF/FACE","3"
"199683","199683","27/01/2025 8:26 PM","FP/PW/RF/FACE","3"
"199683","199683","27/01/2025 8:26 PM","FP/PW/RF/FACE","3"
"100222","100222","27/01/2025 8:35 PM","FP/PW/RF/FACE","3"
"100222","100222","27/01/2025 8:35 PM","FP/PW/RF/FACE","3"
"100222","100222","27/01/2025 8:35 PM","FP/PW/RF/FACE","3"
"101130","101130","28/01/2025 6:36 AM","FP/PW/RF/FACE","3"
"205412","205412","28/01/2025 7:19 AM","FP/PW/RF/FACE","3"
"101907","101907","28/01/2025 7:37 AM","FP/PW/RF/FACE","3"
"210001","210001","28/01/2025 7:42 AM","FP/PW/RF/FACE","3"
"210008","210008","28/01/2025 7:42 AM","FP/PW/RF/FACE","3"
"210014","210014","28/01/2025 7:42 AM","FP/PW/RF/FACE","3"
"101800","101800","28/01/2025 7:43 AM","FP/PW/RF/FACE","3"
"205879","205879","28/01/2025 7:43 AM","FP/PW/RF/FACE","3"
"128063","128063","28/01/2025 7:43 AM","FP/PW/RF/FACE","3"
"128063","128063","28/01/2025 7:43 AM","FP/PW/RF/FACE","3"
"167253","167253","28/01/2025 7:44 AM","FP/PW/RF/FACE","3"
"101262","101262","28/01/2025 7:44 AM","FP/PW/RF/FACE","3"
"101262","101262","28/01/2025 7:44 AM","FP/PW/RF/FACE","3"
"117912","117912","28/01/2025 7:44 AM","FP/PW/RF/FACE","3"
"146677","146677","28/01/2025 7:44 AM","FP/PW/RF/FACE","3"
"128972","128972","28/01/2025 7:45 AM","FP/PW/RF/FACE","3"
"101041","101041","28/01/2025 7:48 AM","FP/PW/RF/FACE","3"
"125376","125376","28/01/2025 7:48 AM","FP/PW/RF/FACE","3"
"142617","142617","28/01/2025 7:49 AM","FP/PW/RF/FACE","3"
"142617","142617","28/01/2025 7:49 AM","FP/PW/RF/FACE","3"
"199683","199683","28/01/2025 7:49 AM","FP/PW/RF/FACE","3"
"197006","197006","28/01/2025 7:50 AM","FP/PW/RF/FACE","3"
"191973","191973","28/01/2025 7:50 AM","FP/PW/RF/FACE","3"
"201703","201703","28/01/2025 7:52 AM","FP/PW/RF/FACE","3"
"187247","187247","28/01/2025 7:52 AM","FP/PW/RF/FACE","3"
"101909","101909","28/01/2025 7:52 AM","FP/PW/RF/FACE","3"
"101887","101887","28/01/2025 7:53 AM","FP/PW/RF/FACE","3"
"100926","100926","28/01/2025 7:54 AM","FP/PW/RF/FACE","3"
"201708","201708","28/01/2025 7:54 AM","FP/PW/RF/FACE","3"
"100975","100975","28/01/2025 7:54 AM","FP/PW/RF/FACE","3"
"101908","101908","28/01/2025 7:54 AM","FP/PW/RF/FACE","3"
"195383","195383","28/01/2025 7:54 AM","FP/PW/RF/FACE","3"
"197608","197608","28/01/2025 7:55 AM","FP/PW/RF/FACE","3"
"197310","197310","28/01/2025 7:55 AM","FP/PW/RF/FACE","3"
"197004","197004","28/01/2025 7:55 AM","FP/PW/RF/FACE","3"
"168338","168338","28/01/2025 7:55 AM","FP/PW/RF/FACE","3"
"210006","210006","28/01/2025 7:55 AM","FP/PW/RF/FACE","3"
"101829","101829","28/01/2025 7:57 AM","FP/PW/RF/FACE","3"
"101853","101853","28/01/2025 7:57 AM","FP/PW/RF/FACE","3"
"210010","210010","28/01/2025 7:57 AM","FP/PW/RF/FACE","3"
"100893","100893","28/01/2025 7:57 AM","FP/PW/RF/FACE","3"
"205316","205316","28/01/2025 7:57 AM","FP/PW/RF/FACE","3"
"101964","101964","28/01/2025 7:57 AM","FP/PW/RF/FACE","3"
"203210","203210","28/01/2025 7:57 AM","FP/PW/RF/FACE","3"
"201706","201706","28/01/2025 7:58 AM","FP/PW/RF/FACE","3"
"201706","201706","28/01/2025 7:58 AM","FP/PW/RF/FACE","3"
"101719","101719","28/01/2025 7:58 AM","FP/PW/RF/FACE","3"
"204010","204010","28/01/2025 7:58 AM","FP/PW/RF/FACE","3"
"187148","187148","28/01/2025 7:58 AM","FP/PW/RF/FACE","3"
"101941","101941","28/01/2025 7:58 AM","FP/PW/RF/FACE","3"
"205878","205878","28/01/2025 7:58 AM","FP/PW/RF/FACE","3"
"101600","101600","28/01/2025 7:58 AM","FP/PW/RF/FACE","3"
"109291","109291","28/01/2025 7:59 AM","FP/PW/RF/FACE","3"
