"Ac-No","Name","sTime","Verify Mode","Machine"
"20004","20004","28/01/2025 9:33 AM","FP/PW/RF/FACE","2"
"20008","20008","28/01/2025 9:36 AM","FP/PW/RF/FACE","2"
"20012","20012","28/01/2025 9:37 AM","FP/PW/RF/FACE","2"
"100205","100205","28/01/2025 9:42 AM","FP/PW/RF/FACE","2"
"20020","20020","28/01/2025 9:46 AM","FP/PW/RF/FACE","2"
"159865","159865","28/01/2025 9:48 AM","FP/PW/RF/FACE","2"
"10152","10152","28/01/2025 9:52 AM","FP/PW/RF/FACE","2"
"191453","191453","28/01/2025 9:54 AM","FP/PW/RF/FACE","2"
"103270","103270","28/01/2025 10:21 AM","FP/PW/RF/FACE","2"
"20006","20006","28/01/2025 11:09 AM","FP/PW/RF/FACE","2"
"100213","100213","28/01/2025 11:15 AM","FP/PW/RF/FACE","2"
"20014","20014","28/01/2025 11:40 AM","FP/PW/RF/FACE","2"
"20005","20005","28/01/2025 11:51 AM","FP/PW/RF/FACE","2"
"20019","20019","28/01/2025 11:55 AM","FP/PW/RF/FACE","2"
"100213","100213","28/01/2025 12:29 PM","FP/PW/RF/FACE","2"
"20022","20022","28/01/2025 1:54 PM","FP/PW/RF/FACE","2"
"20005","20005","28/01/2025 2:11 PM","FP/PW/RF/FACE","2"
"20017","20017","28/01/2025 2:30 PM","FP/PW/RF/FACE","2"
"100217","100217","28/01/2025 3:26 PM","FP/PW/RF/FACE","2"
"20019","20019","28/01/2025 4:13 PM","FP/PW/RF/FACE","2"
"20016","20016","28/01/2025 4:53 PM","FP/PW/RF/FACE","2"
"101492","101492","28/01/2025 6:06 PM","FP/PW/RF/FACE","2"
"10152","10152","28/01/2025 6:12 PM","FP/PW/RF/FACE","2"
"100217","100217","28/01/2025 6:16 PM","FP/PW/RF/FACE","2"
"20006","20006","28/01/2025 6:27 PM","FP/PW/RF/FACE","2"
"210877","210877","28/01/2025 6:35 PM","FP/PW/RF/FACE","2"
"20020","20020","28/01/2025 6:45 PM","FP/PW/RF/FACE","2"
"20020","20020","28/01/2025 6:45 PM","FP/PW/RF/FACE","2"
"20020","20020","28/01/2025 6:45 PM","FP/PW/RF/FACE","2"
"10041","10041","28/01/2025 7:05 PM","FP/PW/RF/FACE","2"
"20017","20017","28/01/2025 7:16 PM","FP/PW/RF/FACE","2"
"20014","20014","28/01/2025 7:16 PM","FP/PW/RF/FACE","2"
"100232","100232","28/01/2025 7:52 PM","FP/PW/RF/FACE","2"
"100227","100227","28/01/2025 7:58 PM","FP/PW/RF/FACE","2"
"103270","103270","28/01/2025 8:44 PM","FP/PW/RF/FACE","2"
"20022","20022","28/01/2025 9:24 PM","FP/PW/RF/FACE","2"
"100199","100199","28/01/2025 9:24 PM","FP/PW/RF/FACE","2"
"10196","10196","29/01/2025 8:34 AM","FP/PW/RF/FACE","2"
"10196","10196","29/01/2025 8:34 AM","FP/PW/RF/FACE","2"
"100217","100217","29/01/2025 9:03 AM","FP/PW/RF/FACE","2"
"210877","210877","29/01/2025 9:04 AM","FP/PW/RF/FACE","2"
"101492","101492","29/01/2025 9:07 AM","FP/PW/RF/FACE","2"
"191453","191453","29/01/2025 9:10 AM","FP/PW/RF/FACE","2"
"20016","20016","29/01/2025 9:11 AM","FP/PW/RF/FACE","2"
"10041","10041","29/01/2025 9:15 AM","FP/PW/RF/FACE","2"
"20004","20004","29/01/2025 9:17 AM","FP/PW/RF/FACE","2"
"103270","103270","29/01/2025 9:28 AM","FP/PW/RF/FACE","2"
"20020","20020","29/01/2025 9:36 AM","FP/PW/RF/FACE","2"
"100205","100205","29/01/2025 9:37 AM","FP/PW/RF/FACE","2"
"20006","20006","29/01/2025 9:37 AM","FP/PW/RF/FACE","2"
"20012","20012","29/01/2025 10:07 AM","FP/PW/RF/FACE","2"
"159865","159865","29/01/2025 10:25 AM","FP/PW/RF/FACE","2"
"20008","20008","29/01/2025 10:44 AM","FP/PW/RF/FACE","2"
"20014","20014","29/01/2025 11:13 AM","FP/PW/RF/FACE","2"
"20005","20005","29/01/2025 11:38 AM","FP/PW/RF/FACE","2"
"20019","20019","29/01/2025 11:49 AM","FP/PW/RF/FACE","2"
"20022","20022","29/01/2025 11:59 AM","FP/PW/RF/FACE","2"
"100217","100217","29/01/2025 12:27 PM","FP/PW/RF/FACE","2"
"20007","20007","29/01/2025 12:30 PM","FP/PW/RF/FACE","2"
"20016","20016","29/01/2025 12:39 PM","FP/PW/RF/FACE","2"
"20012","20012","29/01/2025 12:39 PM","FP/PW/RF/FACE","2"
"20017","20017","29/01/2025 1:28 PM","FP/PW/RF/FACE","2"
"20005","20005","29/01/2025 1:49 PM","FP/PW/RF/FACE","2"
"20022","20022","29/01/2025 3:26 PM","FP/PW/RF/FACE","2"
"20022","20022","29/01/2025 3:26 PM","FP/PW/RF/FACE","2"
"20019","20019","29/01/2025 4:21 PM","FP/PW/RF/FACE","2"
"20017","20017","29/01/2025 4:38 PM","FP/PW/RF/FACE","2"
"20020","20020","29/01/2025 5:50 PM","FP/PW/RF/FACE","2"
"103270","103270","29/01/2025 6:18 PM","FP/PW/RF/FACE","2"
"210877","210877","29/01/2025 6:28 PM","FP/PW/RF/FACE","2"
"210877","210877","29/01/2025 6:28 PM","FP/PW/RF/FACE","2"
"101492","101492","29/01/2025 6:41 PM","FP/PW/RF/FACE","2"
"100232","100232","29/01/2025 7:51 PM","FP/PW/RF/FACE","2"
"20014","20014","29/01/2025 8:02 PM","FP/PW/RF/FACE","2"
"100205","100205","29/01/2025 8:03 PM","FP/PW/RF/FACE","2"
"100227","100227","29/01/2025 8:05 PM","FP/PW/RF/FACE","2"
"10041","10041","29/01/2025 8:07 PM","FP/PW/RF/FACE","2"
"100199","100199","29/01/2025 8:07 PM","FP/PW/RF/FACE","2"
"10190","10190","30/01/2025 8:01 AM","FP/PW/RF/FACE","2"
"101492","101492","30/01/2025 9:02 AM","FP/PW/RF/FACE","2"
"210877","210877","30/01/2025 9:10 AM","FP/PW/RF/FACE","2"
"191453","191453","30/01/2025 9:11 AM","FP/PW/RF/FACE","2"
"100217","100217","30/01/2025 9:13 AM","FP/PW/RF/FACE","2"
"20012","20012","30/01/2025 9:14 AM","FP/PW/RF/FACE","2"
"100223","100223","30/01/2025 9:23 AM","FP/PW/RF/FACE","2"
"20004","20004","30/01/2025 9:23 AM","FP/PW/RF/FACE","2"
"20004","20004","30/01/2025 9:23 AM","FP/PW/RF/FACE","2"
"20008","20008","30/01/2025 9:28 AM","FP/PW/RF/FACE","2"
"20020","20020","30/01/2025 9:32 AM","FP/PW/RF/FACE","2"
"103270","103270","30/01/2025 9:32 AM","FP/PW/RF/FACE","2"
"20016","20016","30/01/2025 9:40 AM","FP/PW/RF/FACE","2"
"159865","159865","30/01/2025 9:48 AM","FP/PW/RF/FACE","2"
"10041","10041","30/01/2025 9:48 AM","FP/PW/RF/FACE","2"
"100205","100205","30/01/2025 9:55 AM","FP/PW/RF/FACE","2"
"20006","20006","30/01/2025 10:28 AM","FP/PW/RF/FACE","2"
"20014","20014","30/01/2025 11:16 AM","FP/PW/RF/FACE","2"
"10196","10196","30/01/2025 11:21 AM","FP/PW/RF/FACE","2"
"20005","20005","30/01/2025 12:00 PM","FP/PW/RF/FACE","2"
"20007","20007","30/01/2025 12:16 PM","FP/PW/RF/FACE","2"
"20012","20012","30/01/2025 12:20 PM","FP/PW/RF/FACE","2"
"20019","20019","30/01/2025 12:24 PM","FP/PW/RF/FACE","2"
"20017","20017","30/01/2025 1:40 PM","FP/PW/RF/FACE","2"
"20022","20022","30/01/2025 1:41 PM","FP/PW/RF/FACE","2"
"100217","100217","30/01/2025 1:50 PM","FP/PW/RF/FACE","2"
"20022","20022","30/01/2025 3:57 PM","FP/PW/RF/FACE","2"
"20022","20022","30/01/2025 3:57 PM","FP/PW/RF/FACE","2"
"20019","20019","30/01/2025 4:03 PM","FP/PW/RF/FACE","2"
"20005","20005","30/01/2025 4:04 PM","FP/PW/RF/FACE","2"
"210877","210877","30/01/2025 4:30 PM","FP/PW/RF/FACE","2"
"103270","103270","30/01/2025 4:56 PM","FP/PW/RF/FACE","2"
"20017","20017","30/01/2025 6:01 PM","FP/PW/RF/FACE","2"
"101492","101492","30/01/2025 6:18 PM","FP/PW/RF/FACE","2"
"210877","210877","30/01/2025 6:28 PM","FP/PW/RF/FACE","2"
"10041","10041","30/01/2025 6:45 PM","FP/PW/RF/FACE","2"
"20014","20014","30/01/2025 7:02 PM","FP/PW/RF/FACE","2"
"100199","100199","30/01/2025 7:15 PM","FP/PW/RF/FACE","2"
"100232","100232","30/01/2025 7:38 PM","FP/PW/RF/FACE","2"
"100227","100227","30/01/2025 8:21 PM","FP/PW/RF/FACE","2"
"100227","100227","30/01/2025 8:21 PM","FP/PW/RF/FACE","2"
"187338","187338","31/01/2025 7:40 AM","FP/PW/RF/FACE","2"
"187338","187338","31/01/2025 7:40 AM","FP/PW/RF/FACE","2"
"187338","187338","31/01/2025 9:22 AM","FP/PW/RF/FACE","2"
"100232","100232","31/01/2025 7:46 PM","FP/PW/RF/FACE","2"
