"Ac-No","Name","sTime","Verify Mode","Machine"
"143329","143329","28/01/2025 9:24 AM","FP/PW/RF/FACE","1"
"143329","143329","28/01/2025 9:24 AM","FP/PW/RF/FACE","1"
"20016","20016","28/01/2025 9:24 AM","FP/PW/RF/FACE","2"
"20022","20022","27/01/2025 12:54 PM","FP/PW/RF/FACE","2"
"20017","20017","27/01/2025 1:07 PM","FP/PW/RF/FACE","2"
"20012","20012","27/01/2025 1:25 PM","FP/PW/RF/FACE","2"
"20014","20014","27/01/2025 2:29 PM","FP/PW/RF/FACE","2"
"20019","20019","27/01/2025 3:31 PM","FP/PW/RF/FACE","2"
"100213","100213","27/01/2025 3:35 PM","FP/PW/RF/FACE","2"
"100213","100213","27/01/2025 3:36 PM","FP/PW/RF/FACE","2"
"20005","20005","27/01/2025 4:54 PM","FP/PW/RF/FACE","2"
"210877","210877","27/01/2025 6:17 PM","FP/PW/RF/FACE","2"
"20017","20017","27/01/2025 6:21 PM","FP/PW/RF/FACE","2"
"101492","101492","27/01/2025 6:22 PM","FP/PW/RF/FACE","2"
"20022","20022","27/01/2025 6:30 PM","FP/PW/RF/FACE","2"
"20022","20022","27/01/2025 6:30 PM","FP/PW/RF/FACE","2"
"10152","10152","27/01/2025 6:42 PM","FP/PW/RF/FACE","2"
"10041","10041","27/01/2025 6:54 PM","FP/PW/RF/FACE","2"
"100217","100217","27/01/2025 6:56 PM","FP/PW/RF/FACE","2"
"100199","100199","27/01/2025 7:14 PM","FP/PW/RF/FACE","2"
"100232","100232","27/01/2025 7:53 PM","FP/PW/RF/FACE","2"
"10060","10060","28/01/2025 9:02 AM","FP/PW/RF/FACE","2"
"101492","101492","28/01/2025 9:04 AM","FP/PW/RF/FACE","2"
"210877","210877","28/01/2025 9:13 AM","FP/PW/RF/FACE","2"
"100217","100217","28/01/2025 9:15 AM","FP/PW/RF/FACE","2"
