"Ac-No","Name","sTime","Verify Mode","Machine"
"158382","158382","28/01/2025 9:35 AM","FP/PW/RF/FACE","3"
"158382","158382","28/01/2025 9:35 AM","FP/PW/RF/FACE","3"
"188852","188852","28/01/2025 9:52 AM","FP/PW/RF/FACE","3"
"100219","100219","28/01/2025 4:10 PM","FP/PW/RF/FACE","3"
"101041","101041","28/01/2025 5:04 PM","FP/PW/RF/FACE","3"
"198873","198873","28/01/2025 5:18 PM","FP/PW/RF/FACE","3"
"188852","188852","28/01/2025 5:43 PM","FP/PW/RF/FACE","3"
"101781","101781","28/01/2025 6:14 PM","FP/PW/RF/FACE","3"
"101781","101781","28/01/2025 6:14 PM","FP/PW/RF/FACE","3"
"101130","101130","28/01/2025 6:17 PM","FP/PW/RF/FACE","3"
"202913","202913","28/01/2025 6:18 PM","FP/PW/RF/FACE","3"
"203210","203210","28/01/2025 6:57 PM","FP/PW/RF/FACE","3"
"201706","201706","28/01/2025 6:59 PM","FP/PW/RF/FACE","3"
"201706","201706","28/01/2025 6:59 PM","FP/PW/RF/FACE","3"
"210001","210001","28/01/2025 6:59 PM","FP/PW/RF/FACE","3"
"167253","167253","28/01/2025 6:59 PM","FP/PW/RF/FACE","3"
"146462","146462","28/01/2025 7:00 PM","FP/PW/RF/FACE","3"
"125376","125376","28/01/2025 7:00 PM","FP/PW/RF/FACE","3"
"195383","195383","28/01/2025 7:00 PM","FP/PW/RF/FACE","3"
"101800","101800","28/01/2025 7:01 PM","FP/PW/RF/FACE","3"
"210008","210008","28/01/2025 7:01 PM","FP/PW/RF/FACE","3"
"101908","101908","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"101908","101908","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"101908","101908","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"199683","199683","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"101235","101235","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"205878","205878","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"210007","210007","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"101600","101600","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"210005","210005","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"210005","210005","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"210011","210011","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"199860","199860","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"199860","199860","28/01/2025 7:02 PM","FP/PW/RF/FACE","3"
"197006","197006","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"197006","197006","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"153872","153872","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"201708","201708","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"201708","201708","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"206214","206214","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"210014","210014","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"205879","205879","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"142617","142617","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"201703","201703","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"201703","201703","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"109291","109291","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"100975","100975","28/01/2025 7:03 PM","FP/PW/RF/FACE","3"
"205316","205316","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"205316","205316","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"187247","187247","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"128972","128972","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"187148","187148","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"205386","205386","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"100926","100926","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"197004","197004","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"146677","146677","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"146677","146677","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"168338","168338","28/01/2025 7:04 PM","FP/PW/RF/FACE","3"
"184472","184472","28/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"184472","184472","28/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"191973","191973","28/01/2025 7:05 PM","FP/PW/RF/FACE","3"
"101964","101964","28/01/2025 7:05 PM","FP/PW/RF/FACE","3"
